Title,Price,Original Price,Discount (%),Rating,Reviews,Brand,Timestamp
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:18
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:18
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:18
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:18
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:21
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:21
"Auklet USB C Hub Docking Station, 6-in-1 Aluminium USB C Hub,4K HDMI@30HZ,100 W Power Delivery,SD/TF Card Reader, Compatibile with iOS, Windows and Linux",1299.0,3499.0,62.88,4.3,32.0,Auklet,2024-12-13 13:48:21
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:24
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:24
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:24
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:24
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:24
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:27
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:27
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:27
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:27
Spigen Ultra Hybrid Pro Full Cover Folio Case Compatible with Galaxy Tab S9 11inch [S Pen Storage] [Kick Stand] - Gray,2589.0,4599.0,43.71,4.1,99.0,Spigen,2024-12-13 13:48:30
"HIFFIN® HF-550 Professional Aluminum Tripod & Monopod with 152CM Max Height | Swivel Ball Head, 4-Section Adjustment, 7kg Load Support | Perfect for DSLR & Video Camcorders",6399.0,9999.0,36.0,4.0,274.0,HIFFIN®,2024-12-13 13:48:30
"pTron Fusion Quad V2 40W Bluetooth Karaoke Party Speaker–Ignite Your Party with Vivid RGB Lights, 3m Mic, Mic Volume Control, 5 Equalizer Settings, BT/USB/SD Playback & Type-C Charging! (Satin Black)",1998.0,5999.0,66.69,4.1,169.0,pTron,2024-12-13 13:48:30
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:33
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:33
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:33
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:33
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:33
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:36
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:36
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:36
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:36
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:36
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:39
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:39
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:39
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:39
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:39
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:41
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:41
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:41
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:41
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:44
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:44
"STM Myth Fleece-Lined Laptop Sleeve with Removable Strap for 13"" Laptop - Black (stm-114-184M-05)",4141.0,4490.0,7.77,5.0,1.0,STM,2024-12-13 13:48:44
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:44
"Auklet USB C Hub Docking Station, 6-in-1 Aluminium USB C Hub,4K HDMI@30HZ,100 W Power Delivery,SD/TF Card Reader, Compatibile with iOS, Windows and Linux",1299.0,3499.0,62.88,4.3,32.0,Auklet,2024-12-13 13:48:47
"Laptop Stand, Wooden PC Stand, Up to 15.6 inch, Tablet, Storage Stand, Stepless Height & Angle Adjustment, Anti-Slip, Computer Stand, ZOOM Meetings, Macbook Air, Macbook Pro, iPad Laptop Stand, iPad",2799.0,3999.0,30.01,4.6,23.0,Laptop,2024-12-13 13:48:47
